sample_index,true_label,selected_model,execution_mode,model_switch_event,confidence,host_inference_latency_us,configured_deadline_ms,deadline_met,final_prediction,final_correct,policy,workload
24,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5213478803634644,4.3999999661537,5,True,3,True,ACCURACY_PRIORITY,LOW
25,0,student_b_16_4_fp32,HIGH_FIDELITY,False,1.0,4.549915211355949,5,True,0,True,ACCURACY_PRIORITY,LOW
26,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9906932711601257,4.79999994240643,5,True,1,True,ACCURACY_PRIORITY,LOW
27,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.609575092792511,4.669064155446313,5,True,2,False,ACCURACY_PRIORITY,LOW
28,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9934438467025757,4.3999999661537,5,True,0,True,ACCURACY_PRIORITY,LOW
29,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9811723828315735,4.3999999661537,5,True,0,True,ACCURACY_PRIORITY,LOW
30,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5016989707946777,4.500000045482011,5,True,3,True,ACCURACY_PRIORITY,LOW
31,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9946998357772827,5.096479619945949,5,True,1,True,ACCURACY_PRIORITY,LOW
32,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5051471590995789,4.400000079840538,5,True,3,False,ACCURACY_PRIORITY,LOW
33,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5209449529647827,4.400000079840538,5,True,3,True,ACCURACY_PRIORITY,LOW
34,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9992668032646179,4.653694312758732,5,True,0,True,ACCURACY_PRIORITY,LOW
35,0,student_b_16_4_fp32,HIGH_FIDELITY,False,1.0,4.599999897436646,5,True,0,True,ACCURACY_PRIORITY,LOW
36,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.502967357635498,4.287722745501075,5,True,3,True,ACCURACY_PRIORITY,LOW
37,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9979450106620789,4.500000045482011,5,True,0,True,ACCURACY_PRIORITY,LOW
38,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.47824645042419434,4.499999931795173,5,True,3,False,ACCURACY_PRIORITY,LOW
39,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5028204917907715,4.486619025194703,5,True,3,False,ACCURACY_PRIORITY,LOW
40,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9899058938026428,4.724925258852245,5,True,1,True,ACCURACY_PRIORITY,LOW
41,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9997524619102478,4.475402009297269,5,True,0,True,ACCURACY_PRIORITY,LOW
42,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9963074922561646,4.3999999661537,5,True,0,True,ACCURACY_PRIORITY,LOW
43,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5142280459403992,4.300000000512227,5,True,3,False,ACCURACY_PRIORITY,LOW
44,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5106326937675476,4.600000011123484,5,True,3,True,ACCURACY_PRIORITY,LOW
45,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9998887777328491,4.400000079840538,5,True,1,True,ACCURACY_PRIORITY,LOW
46,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5261784195899963,4.300000000512227,5,True,2,True,ACCURACY_PRIORITY,LOW
47,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.8076913952827454,4.8651337421120555,5,True,1,True,ACCURACY_PRIORITY,LOW
48,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5041593909263611,4.964936719420271,5,True,2,True,ACCURACY_PRIORITY,LOW
49,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5619945526123047,4.3999999661537,5,True,2,False,ACCURACY_PRIORITY,LOW
50,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.51716148853302,4.645837833183668,5,True,3,True,ACCURACY_PRIORITY,LOW
51,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9999440908432007,4.499999931795173,5,True,0,True,ACCURACY_PRIORITY,LOW
52,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9985758066177368,4.499999931795173,5,True,1,True,ACCURACY_PRIORITY,LOW
53,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5123430490493774,5.093604557527184,5,True,2,False,ACCURACY_PRIORITY,LOW
54,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5081832408905029,4.743329795238297,5,True,2,False,ACCURACY_PRIORITY,LOW
55,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5195989012718201,4.700450451779895,5,True,3,False,ACCURACY_PRIORITY,LOW
56,0,student_b_16_4_fp32,HIGH_FIDELITY,False,1.0,4.300000000512227,5,True,0,True,ACCURACY_PRIORITY,LOW
57,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9930554032325745,4.699999976764957,5,True,0,True,ACCURACY_PRIORITY,LOW
58,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5143585801124573,4.6490684736674,5,True,3,True,ACCURACY_PRIORITY,LOW
59,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9999997615814209,5.048750770684915,5,True,1,True,ACCURACY_PRIORITY,LOW
60,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9998486042022705,4.600000011123484,5,True,0,True,ACCURACY_PRIORITY,LOW
61,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.996795117855072,4.300000000512227,5,True,1,True,ACCURACY_PRIORITY,LOW
62,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5210781693458557,4.300000000512227,5,True,3,True,ACCURACY_PRIORITY,LOW
63,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9999996423721313,4.300000000512227,5,True,1,True,ACCURACY_PRIORITY,LOW
64,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9998130202293396,4.865636669254932,5,True,0,True,ACCURACY_PRIORITY,LOW
65,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5127906203269958,4.883183212867151,5,True,3,False,ACCURACY_PRIORITY,LOW
66,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9974675178527832,4.3999999661537,5,True,1,True,ACCURACY_PRIORITY,LOW
67,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5112737417221069,4.7315191466572015,5,True,3,True,ACCURACY_PRIORITY,LOW
68,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5144184231758118,4.455503491301234,5,True,3,True,ACCURACY_PRIORITY,LOW
69,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9974810481071472,4.3999999661537,5,True,0,True,ACCURACY_PRIORITY,LOW
70,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.99998939037323,4.662627951809068,5,True,1,True,ACCURACY_PRIORITY,LOW
71,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9990912675857544,5.076736050193043,5,True,1,True,ACCURACY_PRIORITY,LOW
72,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5122285485267639,4.300000000512227,5,True,3,False,ACCURACY_PRIORITY,LOW
73,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9994346499443054,5.088443169416124,5,True,0,True,ACCURACY_PRIORITY,LOW
74,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9995922446250916,4.2000000348707545,5,True,0,True,ACCURACY_PRIORITY,LOW
75,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9999499320983887,4.761637065296964,5,True,0,True,ACCURACY_PRIORITY,LOW
76,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5166293978691101,4.438300790560322,5,True,2,False,ACCURACY_PRIORITY,LOW
77,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5038085579872131,4.3999999661537,5,True,2,True,ACCURACY_PRIORITY,LOW
78,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5206508636474609,6.155974023725306,5,True,3,False,ACCURACY_PRIORITY,LOW
79,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5219154357910156,4.499999931795173,5,True,3,False,ACCURACY_PRIORITY,LOW
80,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.504520833492279,4.400000079840538,5,True,3,False,ACCURACY_PRIORITY,LOW
81,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9999796152114868,4.45355840628057,5,True,0,True,ACCURACY_PRIORITY,LOW
82,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.997480571269989,5.050273340837843,5,True,0,True,ACCURACY_PRIORITY,LOW
83,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.47824645042419434,4.400000079840538,5,True,3,False,ACCURACY_PRIORITY,LOW
84,0,student_b_16_4_fp32,HIGH_FIDELITY,False,1.0,4.300000000512227,5,True,0,True,ACCURACY_PRIORITY,LOW
85,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9991043210029602,6.100000064179767,5,True,1,True,ACCURACY_PRIORITY,LOW
86,0,student_b_16_4_fp32,HIGH_FIDELITY,False,1.0,4.911930878517622,5,True,0,True,ACCURACY_PRIORITY,LOW
87,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9999921321868896,4.64793792889979,5,True,1,True,ACCURACY_PRIORITY,LOW
88,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5024360418319702,4.800000056093268,5,True,3,False,ACCURACY_PRIORITY,LOW
89,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5108921527862549,4.730970273195452,5,True,3,False,ACCURACY_PRIORITY,LOW
90,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9911236763000488,4.543684943130158,5,True,1,True,ACCURACY_PRIORITY,LOW
91,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5128801465034485,4.716517346490987,5,True,3,True,ACCURACY_PRIORITY,LOW
92,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9940599799156189,4.3999999661537,5,True,0,True,ACCURACY_PRIORITY,LOW
93,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5075339674949646,4.500000045482011,5,True,3,True,ACCURACY_PRIORITY,LOW
94,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5138257145881653,4.3999999661537,5,True,3,True,ACCURACY_PRIORITY,LOW
95,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5049485564231873,4.400000079840538,5,True,3,False,ACCURACY_PRIORITY,LOW
96,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9989323019981384,4.427331719665163,5,True,1,True,ACCURACY_PRIORITY,LOW
97,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5081840753555298,4.822696070737634,5,True,3,False,ACCURACY_PRIORITY,LOW
98,0,student_b_16_4_fp32,HIGH_FIDELITY,False,1.0,4.402250000804047,5,True,0,True,ACCURACY_PRIORITY,LOW
99,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9999818801879883,4.300000000512227,5,True,1,True,ACCURACY_PRIORITY,LOW
100,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.8688149452209473,4.300000000512227,5,True,1,True,ACCURACY_PRIORITY,LOW
101,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5022537112236023,4.2000000348707545,5,True,3,True,ACCURACY_PRIORITY,LOW
102,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5104167461395264,4.500000045482011,5,True,2,True,ACCURACY_PRIORITY,LOW
103,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9941465854644775,4.300000000512227,5,True,0,True,ACCURACY_PRIORITY,LOW
104,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9978609681129456,4.300000000512227,5,True,1,True,ACCURACY_PRIORITY,LOW
105,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5063132643699646,4.577782341784534,5,True,3,True,ACCURACY_PRIORITY,LOW
106,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.47824645042419434,5.348783709605502,5,True,3,True,ACCURACY_PRIORITY,LOW
107,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9981529116630554,4.476814318880386,5,True,0,True,ACCURACY_PRIORITY,LOW
108,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9992148876190186,4.513322137200004,5,True,0,True,ACCURACY_PRIORITY,LOW
109,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9898884892463684,4.300000000512227,5,True,0,True,ACCURACY_PRIORITY,LOW
110,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9996351003646851,4.500000045482011,5,True,1,True,ACCURACY_PRIORITY,LOW
111,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5137753486633301,4.300000000512227,5,True,3,True,ACCURACY_PRIORITY,LOW
112,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9970807433128357,4.225296723256013,5,True,0,True,ACCURACY_PRIORITY,LOW
113,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5173400640487671,5.60845900730371,5,True,2,False,ACCURACY_PRIORITY,LOW
114,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9991446733474731,4.499999931795173,5,True,0,True,ACCURACY_PRIORITY,LOW
115,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9998247027397156,4.5326809128748975,5,True,1,True,ACCURACY_PRIORITY,LOW
116,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5139333605766296,4.500000045482011,5,True,3,False,ACCURACY_PRIORITY,LOW
117,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9994853734970093,4.300000000512227,5,True,0,True,ACCURACY_PRIORITY,LOW
118,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9965785145759583,4.679985494272944,5,True,0,True,ACCURACY_PRIORITY,LOW
119,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5025171041488647,4.838369913611002,5,True,3,True,ACCURACY_PRIORITY,LOW
120,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9981928467750549,4.963874707643188,5,True,1,True,ACCURACY_PRIORITY,LOW
121,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9967954754829407,4.400000079840538,5,True,0,True,ACCURACY_PRIORITY,LOW
122,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5040888786315918,4.903201554286605,5,True,3,True,ACCURACY_PRIORITY,LOW
123,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9971129894256592,5.29999999798747,5,True,0,True,ACCURACY_PRIORITY,LOW
124,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.983746349811554,4.764085620002646,5,True,0,True,ACCURACY_PRIORITY,LOW
125,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.4812203347682953,5.485705087059134,5,True,2,False,ACCURACY_PRIORITY,LOW
126,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9987583160400391,4.3999999661537,5,True,0,True,ACCURACY_PRIORITY,LOW
127,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5140412449836731,4.500000045482011,5,True,3,False,ACCURACY_PRIORITY,LOW
128,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9965949654579163,4.342850087505018,5,True,0,True,ACCURACY_PRIORITY,LOW
129,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5206171274185181,4.499999931795173,5,True,3,True,ACCURACY_PRIORITY,LOW
130,0,student_b_16_4_fp32,HIGH_FIDELITY,False,1.0,4.500000045482011,5,True,0,True,ACCURACY_PRIORITY,LOW
131,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.52150958776474,4.3294820796823315,5,True,3,False,ACCURACY_PRIORITY,LOW
132,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5159480571746826,4.699999976764957,5,True,3,True,ACCURACY_PRIORITY,LOW
133,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.999601423740387,4.713116522350876,5,True,0,True,ACCURACY_PRIORITY,LOW
134,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5051099061965942,4.699999976764957,5,True,3,False,ACCURACY_PRIORITY,LOW
135,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9995984435081482,5.081971099115463,5,True,0,True,ACCURACY_PRIORITY,LOW
136,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5150574445724487,4.499999931795173,5,True,3,False,ACCURACY_PRIORITY,LOW
137,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.47824645042419434,4.2000000348707545,5,True,3,False,ACCURACY_PRIORITY,LOW
138,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.992521345615387,4.649812404022856,5,True,1,True,ACCURACY_PRIORITY,LOW
139,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5109118223190308,4.3999999661537,5,True,3,True,ACCURACY_PRIORITY,LOW
140,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.4795224666595459,4.806906145500393,5,True,2,True,ACCURACY_PRIORITY,LOW
141,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9966676831245422,5.4274285854810245,5,True,1,True,ACCURACY_PRIORITY,LOW
142,0,student_b_16_4_fp32,HIGH_FIDELITY,False,1.0,4.300000000512227,5,True,0,True,ACCURACY_PRIORITY,LOW
143,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.976111888885498,4.379392559690576,5,True,1,True,ACCURACY_PRIORITY,LOW
144,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5127617716789246,4.411749602052361,5,True,3,False,ACCURACY_PRIORITY,LOW
145,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9999955892562866,4.851820341337689,5,True,1,True,ACCURACY_PRIORITY,LOW
146,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5110220313072205,4.600000011123484,5,True,3,False,ACCURACY_PRIORITY,LOW
147,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5463060736656189,4.599999897436646,5,True,2,True,ACCURACY_PRIORITY,LOW
148,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5044652819633484,4.524434873754228,5,True,3,True,ACCURACY_PRIORITY,LOW
149,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.987642765045166,4.53067322137112,5,True,1,True,ACCURACY_PRIORITY,LOW
150,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9771878123283386,4.715226722561222,5,True,0,True,ACCURACY_PRIORITY,LOW
151,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5131493806838989,4.862830634423562,5,True,3,True,ACCURACY_PRIORITY,LOW
152,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5019021034240723,4.699999976764957,5,True,3,False,ACCURACY_PRIORITY,LOW
153,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9996886253356934,4.399869090303356,5,True,0,True,ACCURACY_PRIORITY,LOW
154,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.996675968170166,4.528951970431864,5,True,1,True,ACCURACY_PRIORITY,LOW
155,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.6100507378578186,4.300000000512227,5,True,2,True,ACCURACY_PRIORITY,LOW
156,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5131860375404358,6.170202784176305,5,True,3,True,ACCURACY_PRIORITY,LOW
157,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5048484802246094,5.9700847379393345,5,True,3,False,ACCURACY_PRIORITY,LOW
158,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5372370481491089,4.500000045482011,5,True,2,False,ACCURACY_PRIORITY,LOW
159,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9999998807907104,4.475752552786415,5,True,0,True,ACCURACY_PRIORITY,LOW
160,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5123377442359924,6.699999971715442,5,True,3,False,ACCURACY_PRIORITY,LOW
161,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9995899796485901,4.746317311771342,5,True,1,True,ACCURACY_PRIORITY,LOW
162,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9880480766296387,4.6866101820939745,5,True,1,True,ACCURACY_PRIORITY,LOW
163,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.999702513217926,4.300000000512227,5,True,1,True,ACCURACY_PRIORITY,LOW
164,0,student_b_16_4_fp32,HIGH_FIDELITY,False,1.0,4.7142517361366325,5,True,0,True,ACCURACY_PRIORITY,LOW
165,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.6491930484771729,4.269240252130898,5,True,2,True,ACCURACY_PRIORITY,LOW
166,0,student_b_16_4_fp32,HIGH_FIDELITY,False,1.0,4.761706433768907,5,True,0,True,ACCURACY_PRIORITY,LOW
167,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5498365163803101,5.115620983150584,5,True,2,False,ACCURACY_PRIORITY,LOW
168,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5056177973747253,4.699999976764957,5,True,3,False,ACCURACY_PRIORITY,LOW
169,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9972448348999023,4.300000000512227,5,True,0,True,ACCURACY_PRIORITY,LOW
170,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5091273784637451,4.500000045482011,5,True,3,True,ACCURACY_PRIORITY,LOW
171,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5118436217308044,4.29999988682539,5,True,3,False,ACCURACY_PRIORITY,LOW
172,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9980915188789368,4.199999921183917,5,True,0,True,ACCURACY_PRIORITY,LOW
173,0,student_b_16_4_fp32,HIGH_FIDELITY,False,1.0,4.343283865483368,5,True,0,True,ACCURACY_PRIORITY,LOW
174,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9851183891296387,4.418977044238309,5,True,0,True,ACCURACY_PRIORITY,LOW
175,0,student_b_16_4_fp32,HIGH_FIDELITY,False,1.0,4.655688797640088,5,True,0,True,ACCURACY_PRIORITY,LOW
176,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5035247206687927,4.605980881401783,5,True,3,True,ACCURACY_PRIORITY,LOW
177,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5021432042121887,5.039554955183244,5,True,3,False,ACCURACY_PRIORITY,LOW
178,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9999485015869141,4.300000000512227,5,True,0,True,ACCURACY_PRIORITY,LOW
179,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.6034682989120483,5.469672742285098,5,True,2,True,ACCURACY_PRIORITY,LOW
180,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.504317581653595,4.675293597052651,5,True,3,False,ACCURACY_PRIORITY,LOW
181,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.47824645042419434,4.199999921183917,5,True,3,True,ACCURACY_PRIORITY,LOW
182,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.47824645042419434,4.3999999661537,5,True,3,False,ACCURACY_PRIORITY,LOW
183,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5054534077644348,4.297813643647195,5,True,3,True,ACCURACY_PRIORITY,LOW
184,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9989712238311768,4.3999999661537,5,True,1,True,ACCURACY_PRIORITY,LOW
185,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.511583149433136,5.035580329133341,5,True,2,False,ACCURACY_PRIORITY,LOW
186,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5071573257446289,4.398759838841859,5,True,3,False,ACCURACY_PRIORITY,LOW
187,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5210986733436584,4.3999999661537,5,True,3,True,ACCURACY_PRIORITY,LOW
188,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9762570858001709,4.1000000692292815,5,True,0,True,ACCURACY_PRIORITY,LOW
189,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5195028185844421,4.400000079840538,5,True,3,True,ACCURACY_PRIORITY,LOW
