sample_idx,true_fault,mode_a_prob_anom,threshold,mode_b_triggered,mode_a_pred,mode_b_pred,final_pred,mode_a_lat_us,mode_b_lat_us,total_lat_us,deadline_5ms_met,deadline_10ms_met,deadline_20ms_met,deadline_50ms_met
230,3,1.0,0.5,1,1,2.0,2,70.5,77.7,148.2,1,1,1,1
231,2,0.989894,0.5,1,1,2.0,2,79.8,82.1,161.9,1,1,1,1
232,1,1.0,0.5,1,1,1.0,1,68.2,80.3,148.5,1,1,1,1
233,3,1.0,0.5,1,1,3.0,3,67.9,73.4,141.3,1,1,1,1
234,0,0.0,0.5,0,0,,0,66.3,0.0,66.3,1,1,1,1
235,3,0.989894,0.5,1,1,2.0,2,74.3,76.0,150.3,1,1,1,1
236,3,0.989894,0.5,1,1,2.0,2,68.7,75.5,144.2,1,1,1,1
237,1,1.0,0.5,1,1,1.0,1,66.9,84.9,151.8,1,1,1,1
238,0,0.0,0.5,0,0,,0,69.7,0.0,69.7,1,1,1,1
239,1,1.0,0.5,1,1,1.0,1,67.2,75.3,142.5,1,1,1,1
240,1,0.999232,0.5,1,1,1.0,1,66.1,77.0,143.1,1,1,1,1
241,0,0.177465,0.5,0,0,,0,75.8,0.0,75.8,1,1,1,1
242,3,0.989894,0.5,1,1,3.0,3,64.9,74.0,138.9,1,1,1,1
243,0,0.0,0.5,0,0,,0,63.0,0.0,63.0,1,1,1,1
244,0,0.0,0.5,0,0,,0,74.0,0.0,74.0,1,1,1,1
245,0,0.0,0.5,0,0,,0,68.1,0.0,68.1,1,1,1,1
246,1,1.0,0.5,1,1,1.0,1,65.4,75.2,140.6,1,1,1,1
247,3,0.999232,0.5,1,1,3.0,3,64.1,84.8,148.9,1,1,1,1
248,1,0.997497,0.5,1,1,1.0,1,68.8,73.4,142.2,1,1,1,1
249,1,0.999232,0.5,1,1,1.0,1,63.9,74.5,138.4,1,1,1,1
250,2,0.989894,0.5,1,1,2.0,2,63.9,82.4,146.3,1,1,1,1
251,1,0.997497,0.5,1,1,1.0,1,71.1,73.5,144.6,1,1,1,1
252,0,0.0,0.5,0,0,,0,65.0,0.0,65.0,1,1,1,1
253,2,0.989894,0.5,1,1,2.0,2,65.1,72.7,137.8,1,1,1,1
254,3,0.989894,0.5,1,1,2.0,2,75.4,71.6,147.0,1,1,1,1
255,3,0.989894,0.5,1,1,3.0,3,63.6,71.1,134.7,1,1,1,1
256,0,0.0,0.5,0,0,,0,62.5,0.0,62.5,1,1,1,1
257,2,0.989894,0.5,1,1,2.0,2,68.8,75.2,144.0,1,1,1,1
258,0,0.0,0.5,0,0,,0,66.0,0.0,66.0,1,1,1,1
259,1,0.989894,0.5,1,1,1.0,1,63.1,72.6,135.7,1,1,1,1
260,1,1.0,0.5,1,1,1.0,1,62.1,79.6,141.7,1,1,1,1
261,2,0.989894,0.5,1,1,2.0,2,67.3,71.8,139.1,1,1,1,1
262,2,1.0,0.5,1,1,3.0,3,61.8,71.1,132.9,1,1,1,1
263,2,0.999232,0.5,1,1,2.0,2,62.2,73.0,135.2,1,1,1,1
264,2,0.989894,0.5,1,1,2.0,2,72.6,74.3,146.9,1,1,1,1
265,0,0.177465,0.5,0,0,,0,64.9,0.0,64.9,1,1,1,1
266,3,0.989894,0.5,1,1,3.0,3,62.6,70.6,133.2,1,1,1,1
267,2,0.989894,0.5,1,1,2.0,2,72.8,76.0,148.8,1,1,1,1
268,2,0.989894,0.5,1,1,3.0,3,63.1,71.5,134.6,1,1,1,1
269,0,0.0,0.5,0,0,,0,63.5,0.0,63.5,1,1,1,1
270,1,0.999232,0.5,1,1,1.0,1,62.0,82.0,144.0,1,1,1,1
271,3,0.989894,0.5,1,1,3.0,3,65.3,71.7,137.0,1,1,1,1
272,0,0.0,0.5,0,0,,0,61.7,0.0,61.7,1,1,1,1
273,3,1.0,0.5,1,1,2.0,2,62.6,77.5,140.1,1,1,1,1
274,0,0.0,0.5,0,0,,0,67.8,0.0,67.8,1,1,1,1
275,2,1.0,0.5,1,1,3.0,3,62.8,71.5,134.3,1,1,1,1
276,3,0.989894,0.5,1,1,2.0,2,62.7,102.2,164.9,1,1,1,1
277,2,0.989894,0.5,1,1,2.0,2,83.9,74.9,158.8,1,1,1,1
278,0,0.0,0.5,0,0,,0,63.9,0.0,63.9,1,1,1,1
279,1,0.989894,0.5,1,1,1.0,1,61.5,72.3,133.8,1,1,1,1
280,3,0.989894,0.5,1,1,1.0,1,73.1,76.9,150.0,1,1,1,1
281,3,0.989894,0.5,1,1,2.0,2,67.9,73.4,141.3,1,1,1,1
282,1,0.999232,0.5,1,1,1.0,1,64.3,75.3,139.6,1,1,1,1
283,0,0.0,0.5,0,0,,0,66.4,0.0,66.4,1,1,1,1
284,0,0.0,0.5,0,0,,0,77.8,0.0,77.8,1,1,1,1
285,3,0.989894,0.5,1,1,3.0,3,67.6,73.5,141.1,1,1,1,1
286,0,0.0,0.5,0,0,,0,67.9,0.0,67.9,1,1,1,1
287,3,0.999232,0.5,1,1,2.0,2,71.9,81.8,153.7,1,1,1,1
288,3,1.0,0.5,1,1,2.0,2,69.4,81.0,150.4,1,1,1,1
289,3,1.0,0.5,1,1,2.0,2,73.4,90.8,164.2,1,1,1,1
290,3,0.989894,0.5,1,1,3.0,3,80.0,83.6,163.6,1,1,1,1
291,2,0.989894,0.5,1,1,2.0,2,72.2,84.0,156.2,1,1,1,1
292,2,0.989894,0.5,1,1,3.0,3,74.0,80.8,154.8,1,1,1,1
293,2,0.989894,0.5,1,1,3.0,3,86.1,91.0,177.1,1,1,1,1
294,1,1.0,0.5,1,1,1.0,1,75.0,86.1,161.1,1,1,1,1
295,0,0.0,0.5,0,0,,0,76.6,0.0,76.6,1,1,1,1
296,0,0.0,0.5,0,0,,0,87.9,0.0,87.9,1,1,1,1
297,2,1.0,0.5,1,1,3.0,3,78.4,82.7,161.1,1,1,1,1
298,1,0.997497,0.5,1,1,1.0,1,72.9,81.9,154.8,1,1,1,1
299,3,0.989894,0.5,1,1,3.0,3,71.3,90.1,161.4,1,1,1,1
300,2,0.989894,0.5,1,1,2.0,2,76.4,76.0,152.4,1,1,1,1
301,3,0.989894,0.5,1,1,3.0,3,69.6,78.8,148.4,1,1,1,1
302,2,1.0,0.5,1,1,2.0,2,69.9,85.0,154.9,1,1,1,1
303,2,0.989894,0.5,1,1,2.0,2,74.0,80.8,154.8,1,1,1,1
304,0,0.0,0.5,0,0,,0,67.3,0.0,67.3,1,1,1,1
305,3,0.989894,0.5,1,1,2.0,2,64.7,73.8,138.5,1,1,1,1
306,2,0.989894,0.5,1,1,3.0,3,74.2,72.4,146.6,1,1,1,1
307,3,0.999232,0.5,1,1,2.0,2,64.5,68.4,132.9,1,1,1,1
308,2,0.997497,0.5,1,1,2.0,2,61.8,67.2,129.0,1,1,1,1
309,3,0.989894,0.5,1,1,3.0,3,62.3,78.6,140.9,1,1,1,1
310,1,1.0,0.5,1,1,1.0,1,63.2,67.9,131.1,1,1,1,1
311,2,0.989894,0.5,1,1,3.0,3,62.3,70.9,133.2,1,1,1,1
312,2,0.989894,0.5,1,1,2.0,2,61.6,76.1,137.7,1,1,1,1
313,0,0.0,0.5,0,0,,0,67.5,0.0,67.5,1,1,1,1
314,2,1.0,0.5,1,1,2.0,2,62.1,68.6,130.7,1,1,1,1
315,0,0.0,0.5,0,0,,0,59.9,0.0,59.9,1,1,1,1
316,1,1.0,0.5,1,1,1.0,1,71.0,71.5,142.5,1,1,1,1
317,2,0.989894,0.5,1,1,3.0,3,63.2,70.1,133.3,1,1,1,1
318,2,1.0,0.5,1,1,3.0,3,60.4,69.2,129.6,1,1,1,1
319,0,0.989894,0.5,1,1,2.0,2,70.6,75.9,146.5,1,1,1,1
320,3,0.989894,0.5,1,1,3.0,3,63.1,69.2,132.3,1,1,1,1
321,3,0.989894,0.5,1,1,2.0,2,62.4,68.4,130.8,1,1,1,1
322,0,0.177465,0.5,0,0,,0,60.9,0.0,60.9,1,1,1,1
323,2,0.989894,0.5,1,1,3.0,3,64.2,70.8,135.0,1,1,1,1
324,0,0.0,0.5,0,0,,0,61.9,0.0,61.9,1,1,1,1
325,2,1.0,0.5,1,1,3.0,3,62.5,69.0,131.5,1,1,1,1
326,1,1.0,0.5,1,1,1.0,1,71.9,70.8,142.7,1,1,1,1
327,1,1.0,0.5,1,1,1.0,1,61.1,71.9,133.0,1,1,1,1
328,1,0.997497,0.5,1,1,1.0,1,62.5,68.3,130.8,1,1,1,1
329,0,0.0,0.5,0,0,,0,71.2,0.0,71.2,1,1,1,1
